
2016-08-24 14:12:44,887 p=13698 u=ivo |  PLAY [all] *********************************************************************
2016-08-24 14:12:44,918 p=13698 u=ivo |  TASK [setup] *******************************************************************
2016-08-24 14:12:45,856 p=13698 u=ivo |  ok: [dwill.soe.ucsc.edu]
2016-08-24 14:12:46,103 p=13698 u=ivo |  ok: [nibbler.soe.ucsc.edu]
2016-08-24 14:12:46,352 p=13698 u=ivo |  ok: [192.168.140.85]
2016-08-24 14:12:46,980 p=13698 u=ivo |  ok: [192.168.140.81]
2016-08-24 14:12:48,890 p=13698 u=ivo |  ok: [issdm-12]
2016-08-24 14:12:48,895 p=13698 u=ivo |  TASK [include] *****************************************************************
2016-08-24 14:12:49,003 p=13698 u=ivo |  included: /home/ivo/src/torpor-popper/experiments/common/check_preconditions.yml for issdm-12, dwill.soe.ucsc.edu, nibbler.soe.ucsc.edu, 192.168.140.81, 192.168.140.85
2016-08-24 14:12:49,029 p=13698 u=ivo |  TASK [ensure docker-engine is installed] ***************************************
2016-08-24 14:12:49,744 p=13698 u=ivo |  ok: [dwill.soe.ucsc.edu] => (item=docker-engine)
2016-08-24 14:12:49,829 p=13698 u=ivo |  ok: [nibbler.soe.ucsc.edu] => (item=docker-engine)
2016-08-24 14:12:49,872 p=13698 u=ivo |  ok: [192.168.140.85] => (item=docker-engine)
2016-08-24 14:12:50,059 p=13698 u=ivo |  ok: [192.168.140.81] => (item=docker-engine)
2016-08-24 14:12:50,386 p=13698 u=ivo |  ok: [dwill.soe.ucsc.edu] => (item=curl)
2016-08-24 14:12:50,562 p=13698 u=ivo |  ok: [nibbler.soe.ucsc.edu] => (item=curl)
2016-08-24 14:12:50,586 p=13698 u=ivo |  ok: [192.168.140.85] => (item=curl)
2016-08-24 14:12:50,998 p=13698 u=ivo |  ok: [192.168.140.81] => (item=curl)
2016-08-24 14:12:51,239 p=13698 u=ivo |  ok: [issdm-12] => (item=docker-engine)
2016-08-24 14:12:52,662 p=13698 u=ivo |  ok: [issdm-12] => (item=curl)
2016-08-24 14:12:52,671 p=13698 u=ivo |  TASK [determine if we should check whether docker binary is statically linked] *
2016-08-24 14:12:52,748 p=13698 u=ivo |  ok: [issdm-12]
2016-08-24 14:12:52,759 p=13698 u=ivo |  ok: [dwill.soe.ucsc.edu]
2016-08-24 14:12:52,766 p=13698 u=ivo |  ok: [nibbler.soe.ucsc.edu]
2016-08-24 14:12:52,772 p=13698 u=ivo |  ok: [192.168.140.81]
2016-08-24 14:12:52,782 p=13698 u=ivo |  ok: [192.168.140.85]
2016-08-24 14:12:52,787 p=13698 u=ivo |  TASK [check if docker is statically linked] ************************************
2016-08-24 14:12:52,831 p=13698 u=ivo |  skipping: [issdm-12]
2016-08-24 14:12:52,836 p=13698 u=ivo |  skipping: [dwill.soe.ucsc.edu]
2016-08-24 14:12:52,840 p=13698 u=ivo |  skipping: [nibbler.soe.ucsc.edu]
2016-08-24 14:12:52,844 p=13698 u=ivo |  skipping: [192.168.140.81]
2016-08-24 14:12:52,854 p=13698 u=ivo |  skipping: [192.168.140.85]
2016-08-24 14:12:52,858 p=13698 u=ivo |  TASK [determine if we should install statically linked docker daemon] **********
2016-08-24 14:12:52,892 p=13698 u=ivo |  skipping: [issdm-12]
2016-08-24 14:12:52,905 p=13698 u=ivo |  skipping: [dwill.soe.ucsc.edu]
2016-08-24 14:12:52,908 p=13698 u=ivo |  skipping: [nibbler.soe.ucsc.edu]
2016-08-24 14:12:52,916 p=13698 u=ivo |  skipping: [192.168.140.81]
2016-08-24 14:12:52,926 p=13698 u=ivo |  skipping: [192.168.140.85]
2016-08-24 14:12:52,931 p=13698 u=ivo |  TASK [ensure docker-engine is installed] ***************************************
2016-08-24 14:12:52,964 p=13698 u=ivo |  skipping: [issdm-12]
2016-08-24 14:12:52,977 p=13698 u=ivo |  skipping: [dwill.soe.ucsc.edu]
2016-08-24 14:12:52,980 p=13698 u=ivo |  skipping: [nibbler.soe.ucsc.edu]
2016-08-24 14:12:52,983 p=13698 u=ivo |  skipping: [192.168.140.81]
2016-08-24 14:12:52,996 p=13698 u=ivo |  skipping: [192.168.140.85]
2016-08-24 14:12:53,000 p=13698 u=ivo |  TASK [stop the docker daemon] **************************************************
2016-08-24 14:12:53,034 p=13698 u=ivo |  skipping: [issdm-12]
2016-08-24 14:12:53,045 p=13698 u=ivo |  skipping: [dwill.soe.ucsc.edu]
2016-08-24 14:12:53,048 p=13698 u=ivo |  skipping: [nibbler.soe.ucsc.edu]
2016-08-24 14:12:53,053 p=13698 u=ivo |  skipping: [192.168.140.81]
2016-08-24 14:12:53,064 p=13698 u=ivo |  skipping: [192.168.140.85]
2016-08-24 14:12:53,069 p=13698 u=ivo |  TASK [get statically linked docker tarball] ************************************
2016-08-24 14:12:53,102 p=13698 u=ivo |  skipping: [issdm-12]
2016-08-24 14:12:53,115 p=13698 u=ivo |  skipping: [dwill.soe.ucsc.edu]
2016-08-24 14:12:53,117 p=13698 u=ivo |  skipping: [nibbler.soe.ucsc.edu]
2016-08-24 14:12:53,122 p=13698 u=ivo |  skipping: [192.168.140.81]
2016-08-24 14:12:53,136 p=13698 u=ivo |  skipping: [192.168.140.85]
2016-08-24 14:12:53,140 p=13698 u=ivo |  TASK [untar statically linked docker] ******************************************
2016-08-24 14:12:53,174 p=13698 u=ivo |  skipping: [issdm-12]
2016-08-24 14:12:53,187 p=13698 u=ivo |  skipping: [dwill.soe.ucsc.edu]
2016-08-24 14:12:53,192 p=13698 u=ivo |  skipping: [nibbler.soe.ucsc.edu]
2016-08-24 14:12:53,199 p=13698 u=ivo |  skipping: [192.168.140.81]
2016-08-24 14:12:53,210 p=13698 u=ivo |  skipping: [192.168.140.85]
2016-08-24 14:12:53,214 p=13698 u=ivo |  TASK [install statically linked docker] ****************************************
2016-08-24 14:12:53,248 p=13698 u=ivo |  skipping: [issdm-12]
2016-08-24 14:12:53,261 p=13698 u=ivo |  skipping: [dwill.soe.ucsc.edu]
2016-08-24 14:12:53,264 p=13698 u=ivo |  skipping: [nibbler.soe.ucsc.edu]
2016-08-24 14:12:53,267 p=13698 u=ivo |  skipping: [192.168.140.81]
2016-08-24 14:12:53,279 p=13698 u=ivo |  skipping: [192.168.140.85]
2016-08-24 14:12:53,284 p=13698 u=ivo |  TASK [start the docker daemon] *************************************************
2016-08-24 14:12:53,538 p=13698 u=ivo |  ok: [dwill.soe.ucsc.edu]
2016-08-24 14:12:53,559 p=13698 u=ivo |  ok: [nibbler.soe.ucsc.edu]
2016-08-24 14:12:53,577 p=13698 u=ivo |  ok: [192.168.140.85]
2016-08-24 14:12:53,594 p=13698 u=ivo |  ok: [192.168.140.81]
2016-08-24 14:12:53,670 p=13698 u=ivo |  ok: [issdm-12]
2016-08-24 14:12:53,675 p=13698 u=ivo |  TASK [make sure base and target groups exist] **********************************
2016-08-24 14:12:53,743 p=13698 u=ivo |  ok: [issdm-12]
2016-08-24 14:12:53,754 p=13698 u=ivo |  ok: [dwill.soe.ucsc.edu]
2016-08-24 14:12:53,758 p=13698 u=ivo |  ok: [nibbler.soe.ucsc.edu]
2016-08-24 14:12:53,768 p=13698 u=ivo |  ok: [192.168.140.81]
2016-08-24 14:12:53,778 p=13698 u=ivo |  ok: [192.168.140.85]
2016-08-24 14:12:53,782 p=13698 u=ivo |  TASK [define no limits] ********************************************************
2016-08-24 14:12:53,856 p=13698 u=ivo |  ok: [issdm-12]
