machine,limits,benchmark,lower_is_better,repetition,result
"issdm-11","no_limits","stressng-matrix-add",false,"1",106136.438184
"issdm-11","no_limits","stressng-matrix-div",false,"1",62886.168227
"issdm-11","no_limits","stressng-matrix-frobenius",false,"1",97269.188647
"issdm-11","no_limits","stressng-matrix-mult",false,"1",184615.276594
"issdm-11","no_limits","stressng-matrix-prod",false,"1",789.41621
"issdm-11","no_limits","stressng-matrix-sub",false,"1",112731.511506
"issdm-11","no_limits","stressng-matrix-hadamard",false,"1",103697.779069
"issdm-11","no_limits","stressng-matrix-trans",false,"1",121589.375873
"issdm-14","no_limits","stressng-matrix-add",false,"1",93415.577549
"issdm-14","no_limits","stressng-matrix-div",false,"1",62890.668885
"issdm-14","no_limits","stressng-matrix-frobenius",false,"1",94848.307216
"issdm-14","no_limits","stressng-matrix-mult",false,"1",183409.627769
"issdm-14","no_limits","stressng-matrix-prod",false,"1",791.118761
"issdm-14","no_limits","stressng-matrix-sub",false,"1",95800.267714
"issdm-14","no_limits","stressng-matrix-hadamard",false,"1",112084.674264
"issdm-14","no_limits","stressng-matrix-trans",false,"1",118463.638098
"issdm-16","no_limits","stressng-matrix-add",false,"1",103012.913513
"issdm-16","no_limits","stressng-matrix-div",false,"1",62883.881181
"issdm-16","no_limits","stressng-matrix-frobenius",false,"1",94823.834792
"issdm-16","no_limits","stressng-matrix-mult",false,"1",183875.423419
"issdm-16","no_limits","stressng-matrix-prod",false,"1",790.816245
"issdm-16","no_limits","stressng-matrix-sub",false,"1",94337.951559
"issdm-16","no_limits","stressng-matrix-hadamard",false,"1",96403.09644
"issdm-16","no_limits","stressng-matrix-trans",false,"1",118144.302483
"issdm-17","no_limits","stressng-matrix-add",false,"1",94213.070181
"issdm-17","no_limits","stressng-matrix-div",false,"1",62886.410731
"issdm-17","no_limits","stressng-matrix-frobenius",false,"1",94755.663743
"issdm-17","no_limits","stressng-matrix-mult",false,"1",184312.289859
"issdm-17","no_limits","stressng-matrix-prod",false,"1",791.31418
"issdm-17","no_limits","stressng-matrix-sub",false,"1",94156.137938
"issdm-17","no_limits","stressng-matrix-hadamard",false,"1",113271.379623
"issdm-17","no_limits","stressng-matrix-trans",false,"1",117907.347123
"issdm-24","no_limits","stressng-matrix-add",false,"1",113200.051466
"issdm-24","no_limits","stressng-matrix-div",false,"1",62883.595156
"issdm-24","no_limits","stressng-matrix-frobenius",false,"1",94661.448047
"issdm-24","no_limits","stressng-matrix-mult",false,"1",182453.995644
"issdm-24","no_limits","stressng-matrix-prod",false,"1",792.984974
"issdm-24","no_limits","stressng-matrix-sub",false,"1",93961.646125
"issdm-24","no_limits","stressng-matrix-hadamard",false,"1",114172.333115
"issdm-24","no_limits","stressng-matrix-trans",false,"1",121901.060595
"issdm-27","no_limits","stressng-matrix-add",false,"1",93073.138034
"issdm-27","no_limits","stressng-matrix-div",false,"1",62889.937391
"issdm-27","no_limits","stressng-matrix-frobenius",false,"1",97394.154117
"issdm-27","no_limits","stressng-matrix-mult",false,"1",183724.395929
"issdm-27","no_limits","stressng-matrix-prod",false,"1",791.016091
"issdm-27","no_limits","stressng-matrix-sub",false,"1",92961.792358
"issdm-27","no_limits","stressng-matrix-hadamard",false,"1",94886.36997
"issdm-27","no_limits","stressng-matrix-trans",false,"1",119798.577704
"issdm-29","no_limits","stressng-matrix-add",false,"1",90785.870893
"issdm-29","no_limits","stressng-matrix-div",false,"1",62888.41415
"issdm-29","no_limits","stressng-matrix-frobenius",false,"1",94594.500084
"issdm-29","no_limits","stressng-matrix-mult",false,"1",184165.152181
"issdm-29","no_limits","stressng-matrix-prod",false,"1",789.082097
"issdm-29","no_limits","stressng-matrix-sub",false,"1",111579.799261
"issdm-29","no_limits","stressng-matrix-hadamard",false,"1",104434.06977
"issdm-29","no_limits","stressng-matrix-trans",false,"1",121273.884317
"issdm-3","no_limits","stressng-matrix-add",false,"1",96296.550241
"issdm-3","no_limits","stressng-matrix-div",false,"1",62874.496337
"issdm-3","no_limits","stressng-matrix-frobenius",false,"1",97893.811038
"issdm-3","no_limits","stressng-matrix-mult",false,"1",184007.584812
"issdm-3","no_limits","stressng-matrix-prod",false,"1",790.331623
"issdm-3","no_limits","stressng-matrix-sub",false,"1",97571.16333
"issdm-3","no_limits","stressng-matrix-hadamard",false,"1",91286.757929
"issdm-3","no_limits","stressng-matrix-trans",false,"1",117872.378563
"issdm-34","no_limits","stressng-matrix-add",false,"1",104293.739823
"issdm-34","no_limits","stressng-matrix-div",false,"1",62813.065169
"issdm-34","no_limits","stressng-matrix-frobenius",false,"1",94645.710673
"issdm-34","no_limits","stressng-matrix-mult",false,"1",184202.130607
"issdm-34","no_limits","stressng-matrix-prod",false,"1",792.180389
"issdm-34","no_limits","stressng-matrix-sub",false,"1",103315.644729
"issdm-34","no_limits","stressng-matrix-hadamard",false,"1",90001.793159
"issdm-34","no_limits","stressng-matrix-trans",false,"1",122264.808063
"issdm-40","no_limits","stressng-matrix-add",false,"1",110997.691061
"issdm-40","no_limits","stressng-matrix-div",false,"1",62869.313844
"issdm-40","no_limits","stressng-matrix-frobenius",false,"1",95503.379816
"issdm-40","no_limits","stressng-matrix-mult",false,"1",181869.366348
"issdm-40","no_limits","stressng-matrix-prod",false,"1",791.736201
"issdm-40","no_limits","stressng-matrix-sub",false,"1",113257.602481
"issdm-40","no_limits","stressng-matrix-hadamard",false,"1",112332.422926
"issdm-40","no_limits","stressng-matrix-trans",false,"1",117401.331352
"issdm-6","no_limits","stressng-matrix-add",false,"1",104904.18197
"issdm-6","no_limits","stressng-matrix-div",false,"1",62887.195984
"issdm-6","no_limits","stressng-matrix-frobenius",false,"1",95539.67281
"issdm-6","no_limits","stressng-matrix-mult",false,"1",183332.146086
"issdm-6","no_limits","stressng-matrix-prod",false,"1",790.815593
"issdm-6","no_limits","stressng-matrix-sub",false,"1",93432.553954
"issdm-6","no_limits","stressng-matrix-hadamard",false,"1",112173.077441
"issdm-6","no_limits","stressng-matrix-trans",false,"1",121731.075967
