repetition,blksize_kb,limits_pct,mode,maxbw,limit,benchmark,job,read_bw,write_bw
3,4,80,10,10,randread,299,29,"fio","randread-sdb-4k-seq",29,0
3,4,40,30,30,write,15397,6158,"fio","write-sdb-4k-seq",0,3980
3,4,40,30,30,read,26194,7858,"fio","read-sdb-4k-seq",4283,0
3,4,40,30,30,randread,299,89,"fio","randread-sdb-4k-seq",88,0
3,4,25,25,40,write,15397,3849,"fio","write-sdb-4k-seq",0,1718
3,4,25,25,40,read,26194,6548,"fio","read-sdb-4k-seq",1914,0
3,4,25,25,40,randread,299,119,"fio","randread-sdb-4k-seq",119,0
3,4,30,40,30,write,15397,4619,"fio","write-sdb-4k-seq",0,2620
3,4,30,40,30,read,26194,10477,"fio","read-sdb-4k-seq",2890,0
3,4,30,40,30,randread,299,89,"fio","randread-sdb-4k-seq",88,0
3,4,20,40,20,write,15397,3079,"fio","write-sdb-4k-seq",0,1856
3,4,20,40,20,read,26194,10477,"fio","read-sdb-4k-seq",2222,0
3,4,20,40,20,randread,299,59,"fio","randread-sdb-4k-seq",59,0
3,4,25,25,50,write,15397,3849,"fio","write-sdb-4k-seq",0,1943
3,4,25,25,50,read,26194,6548,"fio","read-sdb-4k-seq",2180,0
3,4,25,25,50,randread,299,149,"fio","randread-sdb-4k-seq",148,0
3,4,20,20,60,write,15397,3079,"fio","write-sdb-4k-seq",0,1496
3,4,20,20,60,read,26194,5238,"fio","read-sdb-4k-seq",1681,0
3,4,20,20,60,randread,299,179,"fio","randread-sdb-4k-seq",178,0
3,4,20,20,20,write,15397,3079,"fio","write-sdb-4k-seq",0,1545
3,4,20,20,20,read,26194,5238,"fio","read-sdb-4k-seq",1688,0
3,4,20,20,20,randread,299,59,"fio","randread-sdb-4k-seq",58,0
3,4,10,80,10,write,15397,1539,"fio","write-sdb-4k-seq",0,1538
3,4,10,80,10,read,26194,20955,"fio","read-sdb-4k-seq",18437,0
3,4,10,80,10,randread,299,29,"fio","randread-sdb-4k-seq",28,0
3,4,40,20,20,write,15397,6158,"fio","write-sdb-4k-seq",0,6145
3,4,40,20,20,read,26194,5238,"fio","read-sdb-4k-seq",5157,0
